WKT,transportation.sde.BMTC_LAND.objectid,transportation.sde.BMTC_LAND.kgiscode,transportation.sde.BMTC_LAND.departmentcode,transportation.sde.BMTC_LAND.kgisbmtclandid,transportation.sde.BMTC_LAND.kgisbmtclandname,transportation.sde.BMTC_LAND.kgiswardid,transportation.sde.BMTC_LAND.kgisvillageid,transportation.sde.BMTCLAND_TBL.objectid,transportation.sde.BMTCLAND_TBL.kgisbmtclandid,transportation.sde.BMTCLAND_TBL.name,transportation.sde.BMTCLAND_TBL.area_gis,transportation.sde.BMTCLAND_TBL.acre_rec,transportation.sde.BMTCLAND_TBL.gunte_rec,transportation.sde.BMTCLAND_TBL.area_sq_m,transportation.sde.BMTCLAND_TBL.survey_no,transportation.sde.BMTCLAND_TBL.hobli,transportation.sde.BMTCLAND_TBL.taluk,transportation.sde.BMTCLAND_TBL.district,transportation.sde.BMTCLAND_TBL.status,transportation.sde.BMTCLAND_TBL.category,transportation.sde.BMTCLAND_TBL.photo
"MULTISURFACE (CURVEPOLYGON (COMPOUNDCURVE ((77.7327448200709 13.0505990203001,77.7326905562169 13.0489490920337,77.7328306266556 13.0489401875004,77.7328163355283 13.0484851841441,77.7324517465484 13.0485207162037,77.7323216591738 13.0487193896387,77.7318503937807 13.0487062810923,77.7315440701882 13.0487358731462,77.7315395496372 13.0492223068332,77.7317322764672 13.0491929768719,77.7317556629367 13.0493485721377,77.7322974947163 13.0493428475806,77.7323406398244 13.050638709165,77.7327448200709 13.0505990203001))),CURVEPOLYGON (COMPOUNDCURVE ((77.7318637669021 13.0533137147924,77.731220095126 13.0532815485016,77.7309749629359 13.0547841656103,77.73130366005 13.0548423894605,77.7314081009472 13.0552600442687,77.7319301384363 13.0553143508235,77.731766404383 13.0545492646313,77.7318637669021 13.0533137147924))),CURVEPOLYGON (COMPOUNDCURVE ((77.7292338151478 13.0539145911206,77.7295345061543 13.053189495059,77.7301972837069 13.0532094187658,77.7305218749441 13.0522300949241,77.7304699483502 13.0520595922198,77.7300640213624 13.0521220922583,77.7300908750438 13.0522086838686,77.7290819101053 13.0527383013712,77.7292474078075 13.0531436468645,77.7292975618023 13.053298599553,77.7290811535174 13.0535879240197,77.728932485499 13.0543327223744,77.7290511605377 13.0543964704895,77.7292338151478 13.0539145911206))),CURVEPOLYGON (COMPOUNDCURVE ((77.7228751388968 13.0537785884931,77.7229074028754 13.0535381377921,77.7224472979694 13.0535598022976,77.7223859883779 13.0544883045845,77.7224869701923 13.0545440580251,77.7229673989779 13.054577489961,77.7228751388968 13.0537785884931))),CURVEPOLYGON (COMPOUNDCURVE ((77.7327227336928 13.0464531651293,77.732886911913 13.0459308980549,77.7321494626126 13.0460386104922,77.7322323314409 13.0474928040112,77.7323357842345 13.0474842225461,77.7322898129893 13.0464828780865,77.7327227336928 13.0464531651293))),CURVEPOLYGON (COMPOUNDCURVE ((77.7330469554134 13.0553818295617,77.7324523350107 13.0552943893351,77.7326725115838 13.0560509285417,77.7330692970717 13.0561070957377,77.7330469554134 13.0553818295617))),CURVEPOLYGON (COMPOUNDCURVE ((77.7219132692606 13.0530972912262,77.721919930343 13.0526574796271,77.7214673958622 13.0527129550433,77.7210465975966 13.0529452762676,77.7214052772184 13.0530491332597,77.7214538807754 13.0530942271193,77.7219132692606 13.0530972912262))))","188",,"188","188",Hirandahalii,,,"188","188",Hirandahalii,16.23,"13",0.38999999,65662.18,"39",Bidarahalli,Bangalore East,Bangalore Urban,Vacant,Vacant,DSC0130_Hirandahalli.JPG
"MULTISURFACE (CURVEPOLYGON (COMPOUNDCURVE ((77.7242221747252 13.0459275921862,77.7244556342656 13.0460311112328,77.7249118428363 13.0460297262301,77.7251380271068 13.0459326207853,77.7252863143937 13.045784379994,77.7250199341025 13.0457110658236,77.7242408564479 13.0457259740108,77.7242221747252 13.0459275921862))))","189",,"189","189",Hirandahalli,,,"189","189",Hirandahalli,0.81,"0",0.19,3282.61,"82",Bidarahalli,Bangalore East,Bangalore Urban,Vacant,Vacant,DSC_Hirandahalli_82.jpg
"MULTISURFACE (CURVEPOLYGON (COMPOUNDCURVE ((77.695538341203 13.0894199090914,77.6968993280903 13.0892809092579,77.6978258451002 13.0891991903692,77.6983961702789 13.0892174355962,77.6984915519548 13.0884774713998,77.6985114342449 13.0878831165338,77.6981734499744 13.0874991643433,77.6977555748184 13.0870385514303,77.6975414965611 13.0867394103664,77.6972751642616 13.0856744522063,77.6951842848394 13.0856532515792,77.6950011015462 13.0855803751228,77.6947609767506 13.0859016178096,77.6949349754403 13.0864550380784,77.6950605300461 13.0864672415258,77.6953187023006 13.0870291316285,77.6951519053907 13.0875348673287,77.695094264205 13.0879648393484,77.695860512785 13.088575066798,77.695538341203 13.0894199090914))))","190",,"190","190",Kaada_Agrahara,,,"190","190",Kaada_Agrahara,29.46,"18",0.40000001,119207.21,"34",Bidarahalli,Bangalore East,Bangalore Urban,Vacant,Vacant,DSC0132_Kada agrahara.jpg
"MULTISURFACE (CURVEPOLYGON (COMPOUNDCURVE ((77.7584921625187 12.9965593716138,77.7587757324362 12.9964905294668,77.7587397816298 12.9961870226001,77.7584145832863 12.9963655910873,77.7584921625187 12.9965593716138))))","191",,"191","191",Kadugodi,,,"191","191",Kadugodi,0.25,"0",0.31999999,992.68,"259",Bidarahalli,Bangalore East,Bangalore Urban,Bus Stand,Bus Stand,DSC_no_image.jpg
"MULTISURFACE (CURVEPOLYGON (COMPOUNDCURVE ((77.714911674013 13.0761935708642,77.7156910824832 13.0760619776848,77.715605839821 13.0752911354551,77.7149130255403 13.0753423424061,77.714911674013 13.0761935708642))))","192",,"192","192",Kammasandra,,,"192","192",Kammasandra,1.78,"1",0.31999999,7209.35,"34",Bidarahalli,Bangalore East,Bangalore Urban,Vacant,Vacant,DSC0134_Kammasandra.JPG
"MULTISURFACE (CURVEPOLYGON (COMPOUNDCURVE ((77.6570443311496 13.0887942044546,77.657312266759 13.0887675422237,77.6573024777691 13.088716243068,77.6572196702372 13.0887285430356,77.655667433645 13.0887873944807,77.6552818156725 13.0877561006483,77.6552103793102 13.0871506081588,77.6551694716941 13.0868038778097,77.6548782591009 13.0869563209714,77.6549080036719 13.0873625460688,77.6551532129098 13.0883110643355,77.6552058888744 13.0885148215542,77.6554099574402 13.0885050879257,77.655665538629 13.088918355582,77.6570443311496 13.0887942044546))),CURVEPOLYGON (COMPOUNDCURVE ((77.6545037558187 13.0893457362179,77.6545032298848 13.088841404022,77.6540346382694 13.0888723325699,77.6540595855526 13.0892702220365,77.6540868025476 13.0898464532621,77.6543602784376 13.0898372074678,77.6545037558187 13.0893457362179))),CURVEPOLYGON (COMPOUNDCURVE ((77.6562154749368 13.0899495692312,77.6560649769618 13.0894206300747,77.6558726180714 13.0894528573762,77.6561458538974 13.0907643723182,77.6564003696635 13.090708476119,77.6562154749368 13.0899495692312))),CURVEPOLYGON (COMPOUNDCURVE ((77.6542989744428 13.0910570909564,77.6533661306262 13.0910427882602,77.6533994226526 13.0913053708867,77.6536846648892 13.0913180128132,77.6543210669119 13.0913278178832,77.6542989744428 13.0910570909564))),CURVEPOLYGON (COMPOUNDCURVE ((77.6544532966607 13.0881633346377,77.6542106782008 13.0881634410636,77.6542285479886 13.0883520844633,77.6542850281502 13.0886168186562,77.6544873142344 13.0886075657141,77.6544532966607 13.0881633346377))),CURVEPOLYGON (COMPOUNDCURVE ((77.6541114900965 13.0839098667895,77.6539316131602 13.0835065740289,77.6537932572525 13.0835653623725,77.6538874476839 13.0838225371198,77.6539399603514 13.0839902848783,77.6539906058655 13.0839835196823,77.6541114900965 13.0839098667895))),CURVEPOLYGON (COMPOUNDCURVE ((77.653719248368 13.0834737411503,77.6536400051707 13.0832022627588,77.6534486289872 13.0832583403782,77.6535354835578 13.083527260778,77.653719248368 13.0834737411503))))","193",,"193","193",Kannuru,,,"193","193",Kannuru,5.59,"5",0,22624.67,"16",Bidarahalli,Bangalore East,Bangalore Urban,Vacant,Vacant,DSC_no_image.jpg
"MULTISURFACE (CURVEPOLYGON (COMPOUNDCURVE ((77.6520596481258 13.1085787782458,77.6521281627063 13.1089604512479,77.6522546123237 13.108901409863,77.652647698209 13.1087180948218,77.6529326734301 13.1086864769708,77.6530726944712 13.1087113566734,77.6532855123447 13.1084148439292,77.6542493676951 13.1086724546926,77.6545079307371 13.1105895909044,77.6538585511501 13.1102840034533,77.653677976517 13.1105120979817,77.654056947722 13.1118769796915,77.6546590906657 13.1117412177339,77.6542751848695 13.1107162816745,77.654891081101 13.1108437849307,77.6553113972741 13.1109254988525,77.6555225843611 13.1106078132106,77.6556865434918 13.110434026296,77.6562275966866 13.1099504037287,77.6563322675051 13.1104635307896,77.6564357668158 13.111002600601,77.6570734645993 13.1109097624896,77.6571404807077 13.1111953756661,77.6578695091155 13.1110232108698,77.6576692352195 13.1106717153845,77.6574895677829 13.1102911347775,77.6573798181565 13.1100628073173,77.6576891499698 13.1098014727382,77.6576970544946 13.1096292953004,77.6576185148659 13.1095823013408,77.657335978729 13.1096138993036,77.6569648420049 13.1095699249833,77.656516191352 13.1095745532745,77.656879219398 13.1088633042718,77.6571080609417 13.1083733398963,77.6572800252502 13.108036936232,77.657687118318 13.107569034359,77.6580182900816 13.1077520541259,77.6581407188132 13.1075715246739,77.6584172201419 13.107432428788,77.6586996526396 13.1078454104581,77.6589467449313 13.1083734863571,77.6589342733555 13.1085743933005,77.6592695252982 13.1084562012464,77.6598249947878 13.1084074417248,77.6600898656102 13.1084473929293,77.6600380419878 13.1082939734441,77.6603000828739 13.1082843461509,77.6602747419672 13.1080514363532,77.6601400674748 13.1077731730314,77.6604857085314 13.1072604884016,77.6606747380525 13.1071509762818,77.6605707886624 13.1070086378231,77.6588039065605 13.1073352190219,77.658762094604 13.1068480485331,77.6584327723033 13.1068371054077,77.6577728954861 13.1073817121496,77.6576401490717 13.1072826940088,77.6569895892457 13.106651218296,77.6564478280005 13.1066137812265,77.6572001773918 13.1078680553281,77.6570967173505 13.1079981930474,77.6564588575318 13.1080956017772,77.6563288828061 13.1082546961707,77.6562339157921 13.1084946963444,77.6558206784934 13.1099808926571,77.6555329574356 13.1099838587874,77.6551339520924 13.1091609579178,77.6545628322534 13.1082059776338,77.6544278814736 13.1079014208171,77.6543582241327 13.1077730662296,77.6543922128531 13.1073042334365,77.6542338610606 13.1066366046527,77.6544960689407 13.1065287320809,77.6547246008361 13.1064642319939,77.6550513311196 13.1064608636284,77.6550347024407 13.1062745984147,77.655028800919 13.1061790510245,77.6550271078041 13.1060213135154,77.655232436955 13.1060670017071,77.655422221274 13.1059715357943,77.6550808939342 13.1056637593561,77.6544146032692 13.1052277596612,77.6543940939896 13.1052981687522,77.6543903276245 13.1053512328246,77.6543607488065 13.1055757720636,77.6541315041015 13.105945535719,77.6539575395994 13.1059570530319,77.6539188052608 13.1060759314699,77.6531921113742 13.1061456281751,77.6532722840861 13.1056884817771,77.653415161639 13.1055575229257,77.6535364464433 13.1053045733183,77.6535210875055 13.1052386775526,77.6535192895316 13.105230956742,77.652139185543 13.1056399443754,77.6524279074586 13.1066408649057,77.6513579936446 13.1068917595594,77.6520596481258 13.1085787782458))))","194",,"194","194",Kannuru,,,"194","194",Kannuru,52.73,"50",0,213391.15,"50",Bidarahalli,Bangalore East,Bangalore Urban,Vacant,Vacant,DSC_no_image.jpg
"MULTISURFACE (CURVEPOLYGON (COMPOUNDCURVE ((77.7747220387226 13.037922646395,77.7757949021531 13.0377126993368,77.7755551889945 13.0371901343679,77.7754595102995 13.037022131131,77.775334991831 13.036847190692,77.7753032045411 13.0368593278298,77.7746453225606 13.0369578244585,77.7747220387226 13.037922646395))))","195",,"195","195",Khaji_sonnenahalli,,,"195","195",Khaji_sonnenahalli,2.57,"2",0,10387.92,"22",Bidarahalli,Bangalore East,Bangalore Urban,Vacant,Vacant,DSC0133_Kaji sonne -6.JPG
"MULTISURFACE (CURVEPOLYGON (COMPOUNDCURVE ((77.7123958182652 13.0407174318567,77.7124840749801 13.0407493048467,77.7130294415745 13.0406338226043,77.7133223471533 13.0405660112341,77.7132952055548 13.0400921090424,77.7130623060603 13.040067524176,77.7127658226217 13.0401087481487,77.7122973732399 13.0401738818596,77.7123958182652 13.0407174318567))))","196",,"196","196",Kithaganuru,,,"196","196",Kithaganuru,1.61,"1",0.25,6499.63,"21",Bidarahalli,Bangalore East,Bangalore Urban,Vacant,Vacant,DSC0135_Kithaganoor.jpg
"MULTISURFACE (CURVEPOLYGON (COMPOUNDCURVE ((77.7534029045847 13.0895653956009,77.7534999656226 13.0880628587814,77.7535779705114 13.0872666994846,77.7534854381387 13.0863897645326,77.7528824938188 13.0863328897939,77.7527566907477 13.0872555684414,77.7532460409468 13.0873605651776,77.753309182673 13.0883991736005,77.7534029045847 13.0895653956009))))","197",,"197","197",Kodagihalli,,,"197","197",Kodagihalli,3.1,"1",0.20999999,12560.93,"1",Bidarahalli,Bangalore East,Bangalore Urban,Vacant,Vacant,DSC_no_image.jpg
"MULTISURFACE (CURVEPOLYGON (COMPOUNDCURVE ((77.7391996703137 13.0822103681124,77.7393095905417 13.0821787380904,77.7393541519116 13.0821708088966,77.7393284563459 13.0821249159942,77.7389049633708 13.0813475257781,77.7385111586996 13.0814540214376,77.7385395625547 13.0815668497896,77.7384104680349 13.0816002637729,77.7383791424906 13.0814897211218,77.7381851307903 13.081542185959,77.7381728645821 13.0815450216061,77.7383511472071 13.0817982164732,77.7384127231434 13.0817548940596,77.7385655044869 13.0819733949399,77.7386693602159 13.0821187120564,77.7386077145847 13.0821645700307,77.7386667729244 13.0822474707619,77.738735390704 13.0821976083671,77.7387711134301 13.0822552077969,77.7387054795508 13.0823030728789,77.7387340447177 13.0823479733528,77.7389918351048 13.0822715358434,77.7391996703137 13.0822103681124)),COMPOUNDCURVE ((77.7389905663144 13.0821653553435,77.7389116223358 13.0821945444344,77.7388615657548 13.0820844103018,77.7389409509607 13.0820592950946,77.7389905663144 13.0821653553435))))","198",,"198","198",Manduru,,,"198","198",Manduru,1.71,"4",0.12,6913.42,"116",Bidarahalli,Bangalore East,Bangalore Urban,Vacant,Vacant,DSC_no_image.jpg
"MULTISURFACE (CURVEPOLYGON (COMPOUNDCURVE ((77.7345684831388 13.0806208336148,77.7359754208541 13.0802216112929,77.7355253682016 13.0794857145023,77.7339604809631 13.079781794818,77.7345684831388 13.0806208336148))))","199",,"199","199",Manduru,,,"199","199",Manduru,4.01,"3",0,16246.33,"128",Bidarahalli,Bangalore East,Bangalore Urban,Vacant,Vacant,DSC0138_MAndo - 128.jpg
"MULTISURFACE (CURVEPOLYGON (COMPOUNDCURVE ((77.7320738976581 13.0851740111804,77.7318370900741 13.0823678309458,77.7312494191449 13.0823859646301,77.7303054515699 13.083393849609,77.7300839805774 13.083536347098,77.7295459635727 13.0834971906987,77.7295228030896 13.0839907771096,77.7302891330485 13.0850418524005,77.7304148010325 13.0852080410028,77.7306688857264 13.0855764898285,77.7312169479315 13.086331959274,77.731414137742 13.0866077343107,77.7318019285247 13.0872659336911,77.7319918575161 13.0875874621482,77.7323194552892 13.0890278466217,77.7333026793005 13.0892619854406,77.7328707875787 13.0882657263099,77.732505341901 13.0873771486855,77.732165563288 13.0862291705098,77.7320738976581 13.0851740111804))),CURVEPOLYGON (COMPOUNDCURVE ((77.7322212086974 13.0816154952491,77.7322735959891 13.0823300195083,77.7337601021371 13.0822012514829,77.7360530551109 13.082002607596,77.7341639252042 13.080769537579,77.7340178680618 13.0810074881133,77.7333294541491 13.0806141702237,77.7333945099758 13.0817240149304,77.7322212086974 13.0816154952491))))","200",,"200","200",Manduru,,,"200","200",Manduru,34.65,"32",0.23999999,140232.14,"155",Bidarahalli,Bangalore East,Bangalore Urban,Vacant (Compound and Depot under Construction),Vacant,DSC0139_Mandoor-155.JPG
"MULTISURFACE (CURVEPOLYGON (COMPOUNDCURVE ((77.7400520150794 13.0850496469267,77.7397002701177 13.0848575431058,77.73955333212 13.0848914880018,77.7394161068511 13.0848894059705,77.7393891392399 13.084885295819,77.7396969406603 13.0857257572119,77.7397033795981 13.0857269480706,77.7397905910588 13.0857773437042,77.7400354911087 13.0858844611508,77.740072621396 13.0859141648528,77.7401728938346 13.0859024675008,77.7400990368557 13.0854269903263,77.7400520150794 13.0850496469267))),CURVEPOLYGON (COMPOUNDCURVE ((77.739245529177 13.0848634045722,77.7391117831003 13.0848430173423,77.7393684577309 13.0851518231686,77.7393688210955 13.0851526828956,77.7393683448009 13.0851496093974,77.739245529177 13.0848634045722))))","201",,"201","201",Manduru,,,"201","201",Manduru,1.49,"2",0.23999999,6034.66,"64",Bidarahalli,Bangalore East,Bangalore Urban,Vacant,Vacant,DSC_no_image.jpg
"MULTISURFACE (CURVEPOLYGON (COMPOUNDCURVE ((77.6450174002212 13.1058283999866,77.6450526246333 13.1059052694773,77.645398078136 13.1063280960892,77.6456111756251 13.106587573782,77.6458878985892 13.1068059879729,77.6461205300547 13.1069904896397,77.6461609833901 13.1069770904959,77.6463050956644 13.1069536204948,77.6465427681372 13.1069224950124,77.6467520405164 13.1069024178401,77.6467377609057 13.1068358652539,77.6467485384859 13.1067885197062,77.6467933340764 13.1067195722965,77.6469555663861 13.1068669289519,77.6473161928987 13.1068227635575,77.6461976121205 13.1056056629659,77.6450174002212 13.1058283999866))))","202",,"202","202",Mitaganahalli,,,"202","202",Mitaganahalli,5,"10",0,20222.02,"2",Bidarahalli,Bangalore East,Bangalore Urban,Vacant,Vacant,DSC_no_image.jpg
"MULTISURFACE (CURVEPOLYGON (COMPOUNDCURVE ((77.7484514746134 13.0530614083011,77.7496077790639 13.0529309871134,77.7495570133929 13.052569242285,77.7485072822744 13.0527466277757,77.7484514746134 13.0530614083011))))","203",,"203","203",Nimbekaiyipura,,,"203","203",Nimbekaiyipura,1.11,"3",0,4472.62,"52",Bidarahalli,Bangalore East,Bangalore Urban,Vacant,Vacant,DSC0143_Nimbekayipura.JPG
"MULTISURFACE (CURVEPOLYGON (COMPOUNDCURVE ((77.695295698476 12.8747644430045,77.6962017038271 12.8743134222042,77.6961121719568 12.8742139114241,77.6959420269662 12.8740389947683,77.6959292478724 12.8734573749347,77.6954284431697 12.8735524537205,77.695295698476 12.8747644430045))))","204",,"204","204",Gattihalli,,,"204","204",Gattihalli,2,"1",0.38999999,8084.78,"175",Sarjapura,Anekal,Bangalore Urban,Vacant (Compound),Vacant,DSC_no_image.jpg
"MULTISURFACE (CURVEPOLYGON (COMPOUNDCURVE ((77.6897352835853 12.8684218278241,77.6899097740123 12.8693641614692,77.6899348355679 12.8694296347889,77.6900196459164 12.8693869367566,77.6900250341137 12.8693211508119,77.691320750784 12.8691763838228,77.6912375680374 12.8688007832998,77.6899553069671 12.8690649209543,77.689844770896 12.8684087539768,77.6897352835853 12.8684218278241))))","205",,"205","205",Gattihalli,,,"205","205",Gattihalli,1.57,"1",0.18000001,6367.98,"216",Sarjapura,Anekal,Bangalore Urban,Vacant,Vacant,DSC_no_image.jpg
"MULTISURFACE (CURVEPOLYGON (COMPOUNDCURVE ((77.7161477754496 12.8516090669484,77.7163899246748 12.8515703845823,77.7162586897572 12.850538529544,77.7160453719805 12.8488138630903,77.7157854015545 12.8488798154813,77.7161477754496 12.8516090669484))))","206",,"206","206",Chintala_Madivaala,,,"206","206",Chintala_Madivaala,2.09,"2",0,8454.67,"17",Sarjapura,Anekal,Bangalore Urban,Vacant,Vacant,DSC0104_Chintalamadivala.JPG
"MULTISURFACE (CURVEPOLYGON (COMPOUNDCURVE ((77.691843025047 12.8487581733459,77.6902607501875 12.8497700068443,77.6891317285294 12.8501185991779,77.6893589597226 12.8508691809666,77.6907155756522 12.8506186417302,77.6909359627317 12.8514123147065,77.6915649154628 12.8513409394615,77.6915739920595 12.8506772878864,77.6923534996786 12.851337049113,77.6925981806537 12.8510367308199,77.6918443665934 12.8502485337143,77.6925488231186 12.8496781147845,77.691843025047 12.8487581733459))))","207",,"207","207",Chikkanagamangala,,,"207","207",Chikkanagamangala,13.55,"10",0,54816.8,"29",Sarjapura,Anekal,Bangalore Urban,Depot-38(RTO Track),Depot,DSC0038_Chikkanagamangala_Depot.jpg
"MULTISURFACE (CURVEPOLYGON (COMPOUNDCURVE ((77.6932724942205 12.8527930596442,77.6937415102079 12.8530032262101,77.6939859446699 12.8530360496171,77.6940130010606 12.8528223547398,77.6937699414242 12.85195960329,77.6936018503381 12.8519589398919,77.6936700625033 12.8521876959692,77.6933845719666 12.8521428243503,77.6932724942205 12.8527930596442))))","208",,"208","208",Chikkanagamangala,,,"208","208",Chikkanagamangala,1.52,"1",0.12,6158.35,"189",Sarjapur,Anekal,Bangalore Urban,Quarters(Compound),Quarters,DSC0103_Chikkanagamangala.JPG
"MULTISURFACE (CURVEPOLYGON (COMPOUNDCURVE ((77.6826634991265 12.685882341432,77.6834049977723 12.6857453369779,77.6839431626525 12.6856390125678,77.6839043728468 12.6853808722019,77.6825852688946 12.6854142795261,77.6825911563431 12.6854766832745,77.6826634991265 12.685882341432))))","209",,"209","209",Puttanagere_Gollahalli,,,"209","209",Puttanagere_Gollahalli,1.44,"1",0.25,5810.33,"18",Anekal,Anekal,Bangalore Urban,Vacant,Vacant,DSC0113_Pottanagollahalli.JPG
"MULTISURFACE (CURVEPOLYGON (COMPOUNDCURVE ((77.6494126537889 12.684288693518,77.6502717283053 12.6842434276097,77.6502616063882 12.6823630027397,77.6493835707458 12.6823809358642,77.6494126537889 12.684288693518))))","210",,"210","210",Thammanayakanahalli,,,"210","210",Thammanayakanahalli,4.89,"4",0,19776.36,"23",Anekal,Anekal,Bangalore Urban,Vacant,Vacant,DSC_no_image.jpg
"MULTISURFACE (CURVEPOLYGON (COMPOUNDCURVE ((77.7025589245943 12.6652446594067,77.702663496634 12.665229685514,77.7026062868622 12.664911960273,77.7027194256959 12.6648142274603,77.7026510202391 12.6646060197662,77.7026230279363 12.6644555112297,77.7025358100164 12.6643911166359,77.702415236218 12.6644278717954,77.7022936452129 12.6645319688429,77.7025334620068 12.6649074228105,77.7025454140942 12.6651176388161,77.7025589245943 12.6652446594067))))","211",,"211","211",Menasiganahalli,,,"211","211",Menasiganahalli,0.47,"0",0.34,1902.82,"30",Anekal,Anekal,Bangalore Urban,Vacant,Vacant,DSC0112_Menasiganahalli.jpg
"MULTISURFACE (CURVEPOLYGON (COMPOUNDCURVE ((77.7014487577984 12.7275781133113,77.7014373265437 12.7275627198894,77.7010321783916 12.7278904565236,77.7013929027071 12.7282305827282,77.7017559549311 12.7279691674882,77.7014487577984 12.7275781133113))),CURVEPOLYGON (COMPOUNDCURVE ((77.702742513402 12.7288260824965,77.7026848980999 12.7283065872565,77.7021512759145 12.728472396257,77.7019600526033 12.7285643751798,77.7025322807027 12.7287684825033,77.702742513402 12.7288260824965))))","212",,"212","212",Kavalahosahalli,,,"212","212",Kavalahosahalli,1.34,"4",0.37,5438.84,"9",Anekal,Anekal,Bangalore Urban,Vacant(Compound),Vacant,DSC0109_Kavalhosahalli1.JPG
"MULTISURFACE (CURVEPOLYGON (COMPOUNDCURVE ((77.6833961110237 12.6794112330694,77.6833751486128 12.6788996598588,77.682939694701 12.6790334389359,77.6825178770843 12.6786701443663,77.6819958626807 12.6782711049548,77.6821754436998 12.6775464343363,77.6818345816572 12.6777642818753,77.6817865349763 12.6779424181502,77.6817441493924 12.6780653641221,77.6815335463433 12.6783525997531,77.6824522144058 12.6794129721723,77.6833961110237 12.6794112330694))),CURVEPOLYGON (COMPOUNDCURVE ((77.6799627035909 12.6793943162382,77.6799831563533 12.6785313325077,77.6790855360429 12.6785941666501,77.6790700915708 12.6788632241269,77.6791766885774 12.6789302705145,77.6791567178885 12.6793420277507,77.6799627035909 12.6793943162382))),CURVEPOLYGON (COMPOUNDCURVE ((77.6789432522122 12.6786063572467,77.6788981009169 12.6782084994634,77.6776658637086 12.678694281809,77.6772711447133 12.6790161115429,77.6789432522122 12.6786063572467))))","213",,"213","213",Kaalanayakanahalli,,,"213","213",Kaalanayakanahalli,6.77,"5",0.30000001,27410.52,"24",Anekal,Anekal,Bangalore Urban,Vacant,Vacant,DSC_no_image.jpg
"MULTISURFACE (CURVEPOLYGON (COMPOUNDCURVE ((77.624788411424 12.7198248205379,77.6250706604805 12.7195907078558,77.6246468833804 12.719224406731,77.6243385319288 12.719131848374,77.6242694711229 12.7180389581092,77.6242608733006 12.7177946323306,77.6236533165419 12.7171958972119,77.6241213736847 12.7169374674912,77.6243598159286 12.7168024434322,77.6248307608044 12.7167366411662,77.6235333440109 12.7162209939137,77.6209192579295 12.7152693263434,77.6227977783827 12.7174295239875,77.6247084729965 12.7197309866675,77.624788411424 12.7198248205379))))","214",,"214","214",Indlavadi,,,"214","214",Indlavadi,13.42,"11",0,54326.53,"143",Anekal,Anekal,Bangalore Urban,Vacant,Vacant,DSC_no_image.jpg
"MULTISURFACE (CURVEPOLYGON (COMPOUNDCURVE ((77.5766016485288 12.7398717309423,77.5767128105828 12.73981519192,77.5768611292262 12.7399844834662,77.5767226639608 12.7393629211767,77.5766781934912 12.7391473726416,77.5764867107127 12.7389392884932,77.5762202786892 12.7391731762873,77.5763216339092 12.7393789366516,77.5764597566299 12.7396213733854,77.5766016485288 12.7398717309423))))","215",,"215","215",Ragihalli,,,"215","215",Ragihalli,0.9,"0",0.34,3631.83,"3",Jigani,Anekal,Bangalore Urban,Vacant,Vacant,DSC_no_image.jpg
"MULTISURFACE (CURVEPOLYGON (COMPOUNDCURVE ((77.5835008761232 12.7246296581443,77.5841826283899 12.7245532904412,77.5838947877899 12.7236194642378,77.583856350395 12.7233524726381,77.5842762200285 12.7233147661074,77.5840390437392 12.7223075140069,77.5837553302334 12.7223687690791,77.5833063565974 12.722558308531,77.5836450922359 12.7227784375683,77.5832818378466 12.723144457478,77.5833030399608 12.7235945345919,77.5833368886628 12.7238956575973,77.5835008761232 12.7246296581443))))","216",,"216","216",Shivanahalli,,,"216","216",Shivanahalli,4.48,"4",0.36000001,18128.75,"13",Jigani,Anekal,Bangalore Urban,Vacant,Vacant,DSC0114_shivanahalli.JPG
"MULTISURFACE (CURVEPOLYGON (COMPOUNDCURVE ((77.5886113702808 12.7204679001458,77.5896989109699 12.7203714349814,77.5894827795402 12.7198314030755,77.589268473874 12.7193551330361,77.5890359576362 12.7190911946312,77.5885854433908 12.7193688673594,77.588407305987 12.7194296875627,77.5880417917529 12.7195055342871,77.5881100581887 12.7196293603251,77.5884535521009 12.7201524464197,77.5886113702808 12.7204679001458))))","217",,"217","217",Shivanahalli,,,"217","217",Shivanahalli,3.96,"3",0.28999999,16012.23,"43",Jigani,Anekal,Bangalore Urban,Vacant,Vacant,DSC_no_image.jpg
"MULTISURFACE (CURVEPOLYGON (COMPOUNDCURVE ((77.5778473637431 12.7083116097914,77.5784370640883 12.7083214985238,77.5786435166339 12.7083085550075,77.5784283415146 12.7080038087178,77.5783460308191 12.70788357008,77.5780519723883 12.7074234916459,77.5778907766708 12.7071712121794,77.5776832527731 12.7068423051949,77.5768747422352 12.705552285721,77.5769933576163 12.7062899412811,77.5770798936197 12.7066764551833,77.5771186352409 12.7068313545228,77.5771250318663 12.7070363109579,77.5777982735609 12.7075138172281,77.5778110820105 12.7079580304424,77.5778191614937 12.7081045038865,77.5778473637431 12.7083116097914))))","218",,"218","218",Shivanahalli,,,"218","218",Shivanahalli,3.51,"3",0.14,14217.08,"58",Jigani,Anekal,Bangalore Urban,Vacant,Vacant,DSC_no_image.jpg
