WKT,transportation.sde.BMTC_LAND.objectid,transportation.sde.BMTC_LAND.kgiscode,transportation.sde.BMTC_LAND.departmentcode,transportation.sde.BMTC_LAND.kgisbmtclandid,transportation.sde.BMTC_LAND.kgisbmtclandname,transportation.sde.BMTC_LAND.kgiswardid,transportation.sde.BMTC_LAND.kgisvillageid,transportation.sde.BMTCLAND_TBL.objectid,transportation.sde.BMTCLAND_TBL.kgisbmtclandid,transportation.sde.BMTCLAND_TBL.name,transportation.sde.BMTCLAND_TBL.area_gis,transportation.sde.BMTCLAND_TBL.acre_rec,transportation.sde.BMTCLAND_TBL.gunte_rec,transportation.sde.BMTCLAND_TBL.area_sq_m,transportation.sde.BMTCLAND_TBL.survey_no,transportation.sde.BMTCLAND_TBL.hobli,transportation.sde.BMTCLAND_TBL.taluk,transportation.sde.BMTCLAND_TBL.district,transportation.sde.BMTCLAND_TBL.status,transportation.sde.BMTCLAND_TBL.category,transportation.sde.BMTCLAND_TBL.photo
"MULTISURFACE (CURVEPOLYGON (COMPOUNDCURVE ((77.704163183035 12.8963270576278,77.7058415493441 12.8957271739375,77.7056039215787 12.8948631030798,77.7054113941854 12.894163022789,77.7053674589987 12.8941258223003,77.7051950005631 12.8935861840173,77.7050367660458 12.8930850840882,77.704827079934 12.8935118039197,77.7045355052143 12.8938698086502,77.7037620449824 12.894323228008,77.704163183035 12.8963270576278))))","168",,"168","168",Kodathi,,,"168","168",Kodathi,11.31,"8",0,45789.04,"76",Varthur,Bangalore East,Bangalore Urban,Depot-43 and Quarters under Construction,Depot,DSC0137_Kodathi.JPG
"MULTISURFACE (CURVEPOLYGON (COMPOUNDCURVE ((77.7233949714405 12.9014918018878,77.7233083504969 12.9009563476216,77.7232842685511 12.9008444174349,77.7231524690637 12.9008225400125,77.7231029234887 12.9009752169497,77.7232330981947 12.9010317548967,77.7232304142749 12.9012230064236,77.7230436655016 12.9011578228826,77.7229615634645 12.9014108257136,77.722961411836 12.901500856371,77.7232236833643 12.9014795953682,77.7232002692127 12.9018804248574,77.7233669460088 12.9019025891678,77.7235670073972 12.902110235086,77.7233949714405 12.9014918018878))),CURVEPOLYGON (COMPOUNDCURVE ((77.7236700274568 12.9018667179869,77.7236303883865 12.9012794703082,77.7239395967287 12.9012849637689,77.7239137099569 12.9009489009389,77.7233211743745 12.9008505443085,77.7233340593009 12.9009547798519,77.723418681251 12.9010120669051,77.72345400002 12.9010795614974,77.7234665576775 12.9013266449003,77.7234729414923 12.9014598807384,77.7234938851425 12.9015687279125,77.7235210591751 12.9015684447703,77.7235076840418 12.9014740609135,77.7235521497023 12.9014735975991,77.7235835482819 12.9018634817676,77.7235810779126 12.9018635075091,77.7236700274568 12.9018667179869))),CURVEPOLYGON (COMPOUNDCURVE ((77.7239984553054 12.9020490481637,77.7236577344087 12.9020487406574,77.7237137164809 12.9022625038898,77.7238331012054 12.9023872196266,77.7240121928632 12.9022273821322,77.7239984553054 12.9020490481637))))","169",,"169","169",Mulluru,,,"169","169",Mulluru,1.84,"2",0,7455.46,"23",Varthur,Bangalore East,Bangalore Urban,Vacant,Vacant,DSC_no_image.jpg
"MULTISURFACE (CURVEPOLYGON (COMPOUNDCURVE ((77.7124264588775 12.9265654785773,77.7130982393517 12.9277404608496,77.7131724092181 12.9278633945173,77.7132870250741 12.9281758376817,77.7135744621397 12.9279914067993,77.7137521366726 12.9283850479034,77.7148154573048 12.9274900614365,77.7158117490704 12.9262886979956,77.714744735772 12.9259987310023,77.7133703198269 12.9256936476039,77.7125661522732 12.9264446022693,77.7124264588775 12.9265654785773))))","170",,"170","170",Panathur,,,"170","170",Panathur,14.85,"13",0,60095.72,"53",Varthur,Bangalore East,Bangalore Urban,Vacant,Vacant,DSC_no_image.jpg
"MULTISURFACE (CURVEPOLYGON (COMPOUNDCURVE ((77.7302955083897 12.9603046640501,77.731403214522 12.9602657294226,77.7325653517222 12.9601876712165,77.7320187663142 12.9587258464176,77.7315634880769 12.95741930626,77.7312698992027 12.9565789500619,77.7309504894207 12.9565679610294,77.7313829210509 12.9579212886604,77.7321441256528 12.9599565109926,77.729633975494 12.959956250863,77.7302955083897 12.9603046640501))))","171",,"171","171",Siddapura,,,"171","171",Siddapura,5.71,"1",0,23118.59,"6",Varthur,Bangalore East,Bangalore Urban,Vacant,Vacant,DSC0145_Siddapura -6.JPG
"MULTISURFACE (CURVEPOLYGON (COMPOUNDCURVE ((77.7310957939647 12.9556140350769,77.7320797979773 12.9557032700728,77.7320713029361 12.9551040906947,77.7315435974949 12.9550650526148,77.731651040691 12.9545995341573,77.7310372055851 12.9546505115414,77.7310642288062 12.9551689765593,77.7316062635284 12.9551475715362,77.7316064784089 12.9554121823413,77.7310831105489 12.955430771973,77.7310957939647 12.9556140350769))))","172",,"172","172",Siddapura,,,"172","172",Siddapura,2.02,"2",0.20999999,8182.97,"3",Varthur,Bangalore East,Bangalore Urban,Vacant,Vacant,DSC_no_image.jpg
"MULTISURFACE (CURVEPOLYGON (COMPOUNDCURVE ((77.7654004418785 12.9338541045039,77.7658513667344 12.9336748166063,77.7656468516296 12.9320400718161,77.7651651781535 12.9322666458912,77.7654004418785 12.9338541045039))))","173",,"173","173",Varthur,,,"173","173",Varthur,2.36,"1",0.36000001,9555.01,"118",Varthur,Bangalore East,Bangalore Urban,Vacant,Vacant,DSC_no_image.jpg
"MULTISURFACE (CURVEPOLYGON (COMPOUNDCURVE ((77.7617997088375 12.9314059259306,77.7614064568011 12.930587688922,77.7609721673857 12.9296840565747,77.7608807429218 12.9301945279403,77.7606682890919 12.9302961948265,77.7606578726689 12.9306655747297,77.7610323102201 12.9311391742928,77.7614434512662 12.9316585443431,77.7617997088375 12.9314059259306))))","174",,"174","174",Varthur,,,"174","174",Varthur,2.84,"2",0.2,11480.93,"123",Varthur,Bangalore East,Bangalore Urban,Vacant,Vacant,DSC_no_image.jpg
"MULTISURFACE (CURVEPOLYGON (COMPOUNDCURVE ((77.7354889671707 12.9735534270933,77.7359007985027 12.9738633683382,77.7361331646977 12.9739811290507,77.7362757231247 12.9740246631432,77.7366059468671 12.9740015466018,77.7365514482607 12.9738426797464,77.7364037963498 12.9736477959757,77.7362875254353 12.973574438844,77.7362511906498 12.9732813006461,77.7362765873502 12.9730829381162,77.7363112721226 12.9729518977515,77.7362056989921 12.9727411021509,77.7359526655074 12.972769449117,77.7352980480514 12.9729330507289,77.7351676643727 12.9729656361971,77.7352759005367 12.9732944141028,77.7354889671707 12.9735534270933))))","175",,"175","175",Nallurahalli,,,"175","175",Nallurahalli,3.05,"2",0.38,12344.56,"5",K.R.Puram,Bangalore East,Bangalore Urban,Vacant,Vacant,DSC0142_Nallurahalli.JPG
"MULTISURFACE (CURVEPOLYGON (COMPOUNDCURVE ((77.7261831389026 12.997443549543,77.7262313450199 12.997434397359,77.7271218349279 12.996940993518,77.7270807025986 12.9964992272756,77.7270585472449 12.9964974943302,77.7266301519129 12.9965694613611,77.7259747305891 12.9966655272531,77.7261831389026 12.997443549543))))","176",,"176","176",Sadaramangala,,,"176","176",Sadaramangala,2,"2",0.25,8075.88,"60",K.R.Puram,Bangalore East,Bangalore Urban,Vacant,Vacant,DSC0144_Sadaramangala.JPG
"MULTISURFACE (CURVEPOLYGON (COMPOUNDCURVE ((77.6552185898665 13.0766958997881,77.6543548811488 13.0763477810106,77.6544406777407 13.0765748637376,77.6533482962536 13.0769990123939,77.6534038404947 13.0772694178654,77.6536695570447 13.0774989524027,77.653902539347 13.0775395692832,77.6542486683895 13.0774929981014,77.6542347249954 13.077420020216,77.6545761445366 13.0773433888977,77.6549699335592 13.0772404104982,77.6551782165945 13.0770232073118,77.6552185898665 13.0766958997881))),CURVEPOLYGON (COMPOUNDCURVE ((77.6530695169467 13.0788298982828,77.6527666023745 13.0779942724144,77.652649572809 13.0781288129178,77.6523815667772 13.0785057741981,77.651839638346 13.0782962813962,77.6520021307398 13.0787204333951,77.6519288623886 13.0792545393031,77.6523554371313 13.0793447823858,77.6528007281483 13.0791337467191,77.6527636518857 13.0789491748484,77.6530695169467 13.0788298982828))),CURVEPOLYGON (COMPOUNDCURVE ((77.6561884079502 13.0764892058844,77.6562493108383 13.0761926101918,77.6556969451328 13.0762952666559,77.6556777848283 13.0761449203517,77.655530554344 13.076327086518,77.6553465089343 13.0767591022033,77.6554829267403 13.076796409101,77.6555606853346 13.0770923931795,77.6561884079502 13.0764892058844))))","177",,"177","177",Bairati,,,"177","177",Bairati,7.73,"7",0,31291.79,"28",Bidarahalli,Bangalore East,Bangalore Urban,Vacant,Vacant,DSC0120_Byrathi.JPG
